file_path,complexity,cognitive_complexity,bugs,code_smells,sqale_index,violations,vulnerabilities,lines,reliability_rating,security_rating
hibernate-core/src/main/java/org/hibernate/sql/exec/spi/AbstractJdbcOperationQuery.java,15.0,9.0,0.0,2.0,20.0,2.0,0.0,126.0,A,A
hibernate-core/src/main/java/org/hibernate/sql/exec/internal/AbstractJdbcOperationQueryInsert.java,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,A,A
hibernate-core/src/main/java/org/hibernate/sql/exec/internal/AbstractJdbcParameter.java,29.0,15.0,0.0,5.0,17.0,5.0,0.0,217.0,A,A
hibernate-core/src/main/java/org/hibernate/sql/results/jdbc/internal/AbstractJdbcValues.java,4.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,A,A
hibernate-core/src/main/java/org/hibernate/query/sqm/tree/jpa/AbstractJpaSelection.java,4.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,A,A
hibernate-core/src/main/java/org/hibernate/query/sqm/tree/jpa/AbstractJpaTupleElement.java,6.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,A,A
hibernate-core/src/main/java/org/hibernate/engine/transaction/jta/platform/internal/AbstractJtaPlatform.java,22.0,8.0,0.0,0.0,0.0,0.0,0.0,160.0,A,A
hibernate-core/src/main/java/org/hibernate/proxy/AbstractLazyInitializer.java,85.0,74.0,0.0,6.0,50.0,6.0,0.0,500.0,A,A
hibernate-core/src/main/java/org/hibernate/bytecode/enhance/spi/interceptor/AbstractLazyLoadInterceptor.java,2.0,0.0,0.0,2.0,4.0,2.0,0.0,26.0,A,A
hibernate-core/src/main/java/org/hibernate/dialect/pagination/AbstractLimitHandler.java,56.0,36.0,0.0,5.0,40.0,5.0,0.0,351.0,A,A
hibernate-core/src/main/java/org/hibernate/engine/jdbc/AbstractLobCreator.java,4.0,2.0,0.0,0.0,0.0,0.0,0.0,38.0,A,A
hibernate-core/src/main/java/org/hibernate/event/internal/AbstractLockUpgradeEventListener.java,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,A,A
