file_path,complexity,bugs,code_smells,cognitive_complexity,sqale_index,violations,vulnerabilities,lines,reliability_rating,security_rating
lib/sqlalchemy/orm/query.py,250.0,0.0,8.0,149.0,15.0,8.0,0.0,3397.0,A,A
lib/sqlalchemy/util/queue.py,53.0,0.0,0.0,46.0,0.0,0.0,0.0,323.0,A,A
lib/sqlalchemy/dialects/postgresql/ranges.py,178.0,0.0,4.0,211.0,86.0,4.0,0.0,1030.0,A,A
lib/sqlalchemy/dialects/mysql/reflection.py,98.0,0.0,12.0,138.0,102.0,12.0,0.0,678.0,A,A
lib/sqlalchemy/engine/reflection.py,159.0,0.0,6.0,172.0,66.0,6.0,0.0,2099.0,A,A
lib/sqlalchemy/event/registry.py,47.0,0.0,0.0,48.0,0.0,0.0,0.0,387.0,A,A
lib/sqlalchemy/orm/relationships.py,463.0,0.0,20.0,574.0,243.0,20.0,0.0,3501.0,A,A
lib/sqlalchemy/testing/requirements.py,251.0,0.0,4.0,32.0,15.0,4.0,0.0,1819.0,A,A
lib/sqlalchemy/dialects/mysql/reserved_words.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,A,A
lib/sqlalchemy/engine/result.py,302.0,1.0,8.0,287.0,152.0,9.0,0.0,2383.0,E,A
lib/sqlalchemy/ext/asyncio/result.py,95.0,0.0,0.0,33.0,0.0,0.0,0.0,962.0,A,A
lib/sqlalchemy/sql/roles.py,8.0,0.0,1.0,4.0,0.0,1.0,0.0,324.0,A,A
lib/sqlalchemy/engine/row.py,51.0,0.0,0.0,12.0,0.0,0.0,0.0,402.0,A,A
lib/sqlalchemy/testing/schema.py,42.0,0.0,4.0,34.0,33.0,4.0,0.0,225.0,A,A
lib/sqlalchemy/sql/schema.py,563.0,1.0,32.0,612.0,380.0,34.0,1.0,6159.0,C,E
lib/sqlalchemy/schema.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,A,A
lib/sqlalchemy/orm/scoping.py,79.0,0.0,0.0,14.0,0.0,0.0,0.0,2166.0,A,A
lib/sqlalchemy/ext/asyncio/scoping.py,68.0,1.0,0.0,10.0,0.0,1.0,0.0,1615.0,E,A
lib/sqlalchemy/sql/selectable.py,542.0,0.0,15.0,403.0,191.0,15.0,0.0,7005.0,A,A
lib/sqlalchemy/ext/serializer.py,15.0,0.0,2.0,29.0,25.0,2.0,0.0,182.0,A,A
lib/sqlalchemy/orm/session.py,498.0,0.0,19.0,583.0,242.0,20.0,1.0,5302.0,A,E
lib/sqlalchemy/ext/asyncio/session.py,106.0,1.0,0.0,26.0,0.0,2.0,1.0,1937.0,E,E
lib/sqlalchemy/testing/fixtures/sql.py,89.0,0.0,4.0,114.0,56.0,4.0,0.0,504.0,A,A
lib/sqlalchemy/sql/sqltypes.py,408.0,0.0,6.0,329.0,28.0,6.0,0.0,3822.0,A,A
lib/sqlalchemy/orm/state.py,170.0,0.0,12.0,179.0,114.0,12.0,0.0,1144.0,A,A
lib/sqlalchemy/orm/state_changes.py,15.0,0.0,3.0,28.0,24.0,3.0,0.0,199.0,A,A
lib/sqlalchemy/engine/strategies.py,0.0,0.0,1.0,0.0,2.0,1.0,0.0,20.0,A,A
lib/sqlalchemy/orm/strategies.py,453.0,1.0,27.0,577.0,249.0,28.0,0.0,3403.0,B,A
lib/sqlalchemy/orm/strategy_options.py,244.0,0.0,10.0,266.0,76.0,10.0,0.0,2570.0,A,A
lib/sqlalchemy/orm/sync.py,21.0,0.0,1.0,33.0,5.0,1.0,0.0,165.0,A,A
lib/sqlalchemy/util/tool_support.py,21.0,0.0,1.0,22.0,20.0,1.0,0.0,202.0,A,A
lib/sqlalchemy/util/topological.py,17.0,0.0,3.0,26.0,16.0,3.0,0.0,121.0,A,A
lib/sqlalchemy/sql/traversals.py,222.0,0.0,59.0,241.0,349.0,59.0,0.0,1025.0,A,A
lib/sqlalchemy/sql/type_api.py,178.0,0.0,1.0,113.0,5.0,1.0,0.0,2319.0,A,A
lib/sqlalchemy/dialects/postgresql/types.py,18.0,0.0,0.0,5.0,0.0,0.0,0.0,304.0,A,A
lib/sqlalchemy/dialects/mysql/types.py,48.0,0.0,1.0,20.0,0.0,1.0,0.0,775.0,A,A
lib/sqlalchemy/dialects/oracle/types.py,30.0,0.0,5.0,12.0,35.0,5.0,0.0,288.0,A,A
lib/sqlalchemy/types.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,A,A
lib/sqlalchemy/util/typing.py,86.0,1.0,2.0,71.0,7.0,3.0,0.0,630.0,C,A
lib/sqlalchemy/orm/unitofwork.py,162.0,0.0,8.0,178.0,93.0,8.0,0.0,797.0,A,A
lib/sqlalchemy/engine/url.py,100.0,1.0,4.0,110.0,29.0,5.0,0.0,911.0,B,A
lib/sqlalchemy/engine/util.py,25.0,0.0,3.0,30.0,22.0,3.0,0.0,168.0,A,A
